timestamp,user,function,seriousness,message
2020-11-21 01:05:41,edouard_thom,MAIN,INFO,Bot started for user edouard_thom !
2020-11-21 01:05:41,edouard_thom,MAIN,INFO,loop 0 start
2020-11-21 01:05:41,edouard_thom,log_in,INFO,start
2020-11-21 01:05:44,edouard_thom,log_in,INFO,success
2020-11-21 01:05:47,edouard_thom,update_followers,INFO,start
2020-11-21 01:05:50,edouard_thom,get_followers_following_for_user,INFO,start - first attempt to get the followers data
2020-11-21 01:05:52,edouard_thom,get_followers_following_for_user_one_try,INFO,start
2020-11-21 01:06:35,edouard_thom,get_followers_following_for_user_one_try,ERROR,"UNIDENTIFIED failure, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 217, in get_followers_following_for_user_one_try
    sleep(1)
KeyboardInterrupt
"
2020-11-21 01:06:38,edouard_thom,get_followers_following_for_user_one_try,INFO,start
2020-11-21 01:06:38,edouard_thom,get_followers_following_for_user_one_try,ERROR,couldn't load user profile page
2020-11-21 01:06:40,edouard_thom,get_followers_following_for_user_one_try,INFO,start
2020-11-21 01:06:40,edouard_thom,get_followers_following_for_user_one_try,ERROR,couldn't load user profile page
2020-11-21 01:06:40,edouard_thom,get_followers_following_for_user,ERROR,failed after 3 attempts
2020-11-21 01:06:40,edouard_thom,update_followers,ERROR,failed to get the followers list -> abort the followers update
2020-11-21 01:06:40,edouard_thom,unfollowing_of_bot_followed_users,INFO,start
2020-11-21 01:06:40,edouard_thom,unfollowing_of_bot_followed_users,INFO,2 accounts to unfollow...
2020-11-21 01:06:41,edouard_thom,unfollow_account_from_profile_page,INFO,"start, user_to_unfollow={}luxuriousupercars"
2020-11-21 01:06:41,edouard_thom,unfollow_account_from_profile_page,ERROR,failed to access profile URL
2020-11-21 01:06:42,edouard_thom,unfollow_account_from_profile_page,INFO,"start, user_to_unfollow={}apicolturailroccolo"
2020-11-21 01:06:42,edouard_thom,unfollow_account_from_profile_page,ERROR,failed to access profile URL
